column,row,value,qnode
1,1,314,Q110000314
1,2,260,Q110000260
1,3,253,Q110000253
1,4,418,Q110000418
1,5,440,Q110000440
1,6,426,Q110000426
1,7,333,Q110000333
1,8,285,Q110000285
1,9,288,Q110000288
1,10,259,Q110000259
1,11,288,Q110000288
1,12,234,Q110000234
1,13,275,Q110000275
1,14,216,Q110000216
1,15,265,Q110000265
1,16,337,Q110000337
1,17,224,Q110000224
1,18,222,Q110000222
1,19,335,Q110000335
1,20,11346,Q110011346
1,21,275,Q110000275
1,22,354,Q110000354
1,23,205,Q110000205
1,24,418,Q110000418
1,25,289,Q110000289
1,26,240,Q110000240
1,27,332,Q110000332
1,28,298,Q110000298
1,29,329,Q110000329
1,30,418,Q110000418
1,31,256,Q110000256
1,32,230,Q110000230
1,33,234,Q110000234
1,34,222,Q110000222
1,35,327,Q110000327
1,36,275,Q110000275
1,37,279,Q110000279
1,38,260,Q110000260
1,39,218,Q110000218
1,40,288,Q110000288
1,41,327,Q110000327
1,42,265,Q110000265
1,43,297,Q110000297
1,44,234,Q110000234
1,45,366,Q110000366
1,46,338,Q110000338
1,47,374,Q110000374
1,48,412,Q110000412
1,49,316,Q110000316
1,50,426,Q110000426
1,51,395,Q110000395
1,52,413,Q110000413
1,53,421,Q110000421
1,54,333,Q110000333
1,55,234,Q110000234
1,56,416,Q110000416
1,57,342,Q110000342
1,58,366,Q110000366
1,59,347,Q110000347
1,60,292,Q110000292
1,61,324,Q110000324
1,62,365,Q110000365
1,63,308,Q110000308
1,64,259,Q110000259
1,65,262,Q110000262
1,66,288,Q110000288
1,67,322,Q110000322
1,68,327,Q110000327
1,69,314,Q110000314
1,70,289,Q110000289
1,71,413,Q110000413
1,72,442,Q110000442
1,73,205,Q110000205
1,74,223,Q110000223
1,75,246,Q110000246
1,76,381,Q110000381
1,77,259,Q110000259
1,78,315,Q110000315
1,79,386,Q110000386
1,80,308,Q110000308
1,81,251,Q110000251
1,82,327,Q110000327
1,83,227,Q110000227
1,84,308,Q110000308
1,85,327,Q110000327
1,86,215,Q110000215
1,87,270,Q110000270
1,88,246,Q110000246
1,89,337,Q110000337
1,90,333,Q110000333
1,91,308,Q110000308
1,92,299,Q110000299
1,93,330,Q110000330
1,94,220,Q110000220
1,95,352,Q110000352
1,96,417,Q110000417
1,97,423,Q110000423
1,98,261,Q110000261
1,99,236,Q110000236
1,100,330,Q110000330
,,year,P585
,,type_of_conflict,P31
,,start_date,P580
,,ep_end_date,P582
,,location_0,P276
,,location_1,P276
,,Uganda,Q1036
,,Lebanon,Q822
,,Myanmar (Burma),Q836
,,United States of America,Q30
,,Israel,Q801
,,Afghanistan,Q889
,,Mozambique,Q1029
,,Iraq,Q796
,,Chad,Q657
,,Ethiopia,Q115
,,Vietnam (North Vietnam),Q881
,,DR Congo (Zaire),Q974
,,Somalia,Q1045
,,India,Q668
,,Libya,Q1016
,,Turkey,Q43
,,Colombia,Q739
,,Thailand,Q869
,,South Africa,Q258
,,Mauritania,Q1025
,,Yemen (North Yemen),Q805
,,Angola,Q916
,,Guinea-Bissau,Q1007
,,Lebanon,Q822
,,Nigeria,Q1033
,,Indonesia,Q252
,,Rwanda,Q1037
,,Serbia (Yugoslavia),Q403
,,El Salvador,Q792
,,Tajikistan,Q863
,,Central African Republic,Q929
,,Spain,Q29
,,Peru,Q419
,,Philippines,Q928
,,Laos,Q819
,,Bangladesh,Q902
,,Algeria,Q262
,,Haiti,Q790
,,United Kingdom,Q145
,,Albania,Q222
,,France,Q142
,,Syria,Q858
,,Macedonia,Q221
,,Paraguay,Q733
,,Malaysia,Q833
,,China,Q148
,,Morocco,Q1028
,,Pakistan,Q843
,,FYR,Q221
,,Iran,Q794
,,Sri Lanka,Q854